,open,close,low,high
2018-07-16,741.32,743.67,740.07,752.96
2018-07-17,745.95,731.6,725.28,745.95
2018-07-18,731.6,726.68,724.27,738.75
2018-07-19,728.22,730.14,724.29,733.09
2018-07-20,730.68,730.31,717.38,732.29
2018-07-23,725.26,721.39,709.5,730.33
2018-07-24,721.99,734.52,712.45,736.39
2018-07-25,736.05,732.96,729.21,738.94
2018-07-26,737.97,724.88,723.52,737.97
2018-07-27,725.26,727.78,719.35,733.44
2018-07-30,728.12,708.71,704.57,729.85
2018-07-31,709.79,715.84,708.71,717.26
2018-08-01,720.73,704.51,703.69,721.61
2018-08-02,705.52,685.69,677.84,705.52
2018-08-03,684.86,669.08,666.33,684.86
2018-08-06,667.12,659.91,652.59,674.02
2018-08-07,662.49,676.26,652.36,677.79
2018-08-08,676.99,666.35,662.07,678.95
2018-08-09,661.21,681.78,660.34,684.37
2018-08-10,681.78,677.15,674.22,684.63
2018-08-13,673.03,669.31,656.95,673.03
2018-08-14,669.31,670.2,663.68,674.51
2018-08-15,669.88,653.13,651.35,670.08
2018-08-16,642.49,638.98,630.66,658.74
2018-08-17,647.9,625.6,620.82,647.9
2018-08-20,623.22,635.38,607.86,636.13
2018-08-21,637.56,661.69,637.56,662.49
2018-08-22,661.21,657.96,653.32,663.38
2018-08-23,661.9,660.43,655.47,668.6
2018-08-24,659.24,650.66,646.88,659.24
2018-08-27,652.34,677.27,652.34,677.27
2018-08-28,682.89,671.06,668.65,683.66
2018-08-29,672.05,675.84,669.19,678.83
2018-08-30,678.17,670.47,669.1,682.49
2018-08-31,666.38,649.57,646.92,667.12
2018-09-03,642.49,656.49,641.3,657.93
2018-09-04,657.07,665.19,651.95,666.13
2018-09-05,665.15,648.19,647.41,667.11
2018-09-06,642.49,634.6,630.66,649.64
2018-09-07,636.08,641.47,635.73,648.43
2018-09-10,642.68,635.39,631.35,644.27
2018-09-11,636.15,636.57,631.28,641.47
2018-09-12,633.62,620.81,618.85,635.46
2018-09-13,628.69,622.76,610.95,632.63
2018-09-14,624.73,633.52,619.36,640.3
2018-09-17,635.59,636.39,631.7,643.43
2018-09-18,633.62,656.97,632.85,658.25
2018-09-19,656.85,671.48,656.28,675.99
2018-09-20,675.2,668.65,667.48,676.88
2018-09-21,672.05,689.79,670.09,689.79
2018-09-25,684.86,686.85,683.14,695.47
2018-09-26,691.85,714.35,691.75,721.99
2018-09-27,716.88,713.43,704.96,717.38
2018-09-28,716.1,719.35,708.39,722.5
2018-10-08,704.97,676.14,676.14,708.51
2018-10-09,676.88,684.86,675.89,688.51
2018-10-10,687.08,661.13,659.92,687.81
2018-10-11,625.74,635.58,625.74,659.18
2018-10-12,641.5,658.25,641.09,662.86
2018-10-15,659.72,657.17,650.4,662.14
2018-10-16,656.26,657.4,652.35,669.61
2018-10-17,665.15,656.01,640.42,667.42
2018-10-18,650.37,636.51,635.56,650.37
2018-10-19,628.69,660.22,625.81,665.15
2018-10-22,665.15,682.89,665.15,691.78
2018-10-23,678.95,632.37,625.73,678.95
2018-10-24,618.94,627.69,610.95,640.51
2018-10-25,610.95,609.97,599.7,613.42
2018-10-26,609.97,601.2,599.11,615.88
2018-10-29,541.08,541.08,541.08,541.08
2018-10-30,502.56,516.35,501.59,535.08
2018-10-31,519.31,540.89,514.38,546.9
2018-11-01,546.9,554.78,543.21,576.96
2018-11-02,576.46,591.15,563.89,591.24
2018-11-05,584.35,567.4,563.43,584.35
2018-11-06,565.62,557.74,549.87,565.78
2018-11-07,560.7,558.13,553.81,566.56
2018-11-08,565.62,562.02,559.71,568.58
2018-11-09,558.94,553.8,553.8,560.7
2018-11-12,544.93,543.94,528.97,546.11
2018-11-13,538.15,561.68,535.08,561.68
2018-11-14,561.64,547.0,544.49,561.64
2018-11-15,550.65,551.53,547.39,556.56
2018-11-16,552.81,551.83,549.89,557.74
2018-11-19,552.12,560.72,550.95,563.65
2018-11-20,556.75,553.4,551.83,559.71
2018-11-21,545.92,556.46,545.6,560.6
2018-11-22,556.9,556.26,549.86,559.05
2018-11-23,555.77,548.77,548.77,559.02
2018-11-26,549.86,544.05,543.94,552.02
2018-11-27,543.94,540.1,538.52,546.89
2018-11-28,542.81,548.87,537.54,551.03
2018-11-29,557.77,543.55,541.0,561.48
2018-11-30,548.87,556.75,544.93,560.59
2018-12-03,580.4,592.43,576.24,596.17
2018-12-04,594.19,593.44,586.32,595.44
2018-12-05,588.78,601.2,586.32,607.5
2018-12-06,591.24,583.16,581.74,597.14
2018-12-07,586.91,578.43,576.17,590.12
2018-12-10,567.59,568.81,565.8,578.93
2018-12-11,568.58,574.48,568.58,577.99
